UserID,subscriber_status,Gender,Race,email_flag,smh_flag,Age_brackets,Province,Channel,watch_date,dayname,monthname,watch_time,hour_of_day,day_classification,day_type,duration,screen_time
2370769,Subscriber,female,black,1,1,Adult,Gauteng,Africa Magic,2016-03-17,Thu,Mar,18:48:00,18,04. Evening,Weekday,00:00:24,Short
893852,Subscriber,female,black,1,1,Adult,Mpumalanga,Cartoon Network,2016-03-13,Sun,Mar,06:38:00,6,02. Morning,Weekend,00:03:13,Short
893852,Subscriber,female,black,1,1,Adult,Mpumalanga,Channel O,2016-03-12,Sat,Mar,19:45:00,19,04. Evening,Weekend,00:02:09,Short
821994,Subscriber,male,black,1,1,Adult,Free State,Trace TV,2016-03-14,Mon,Mar,07:32:00,7,02. Morning,Weekday,00:00:00,Short
821994,Subscriber,male,black,1,1,Adult,Free State,Trace TV,2016-03-09,Wed,Mar,17:50:00,17,04. Evening,Weekday,00:02:39,Short
1108792,Subscriber,male,black,1,1,Adult,Free State,Live Event,2016-01-23,Sat,Jan,14:32:00,14,03. Afternoon,Weekend,00:00:00,Short
2288636,Subscriber,male,black,1,1,Adult,Limpopo,Africa Magic,2016-02-04,Thu,Feb,20:03:00,20,04. Evening,Weekday,00:00:11,Short
893861,Subscriber,male,black,1,1,Adult,Mpumalanga,Trace TV,2016-03-15,Tue,Mar,11:18:00,11,02. Morning,Weekday,00:00:42,Short
2203929,Subscriber,male,black,1,1,Older Adult,Gauteng,SuperSport Blitz,2016-03-17,Thu,Mar,06:21:00,6,02. Morning,Weekday,00:00:00,Short
810329,Subscriber,male,black,1,1,Older Adult,Limpopo,Africa Magic,2016-02-26,Fri,Feb,06:51:00,6,02. Morning,Weekday,00:00:30,Short
810334,Subscriber,male,coloured,1,1,Older Adult,Gauteng,CNN,2016-02-15,Mon,Feb,08:28:00,8,02. Morning,Weekday,00:13:00,Short
810334,Subscriber,male,coloured,1,1,Older Adult,Gauteng,SawSee,2016-03-09,Wed,Mar,02:27:00,2,01. Late Night,Weekday,00:00:00,Short
2415186,Subscriber,male,coloured,1,1,Older Adult,Western Cape,Boomerang,2016-01-13,Wed,Jan,13:26:00,13,03. Afternoon,Weekday,00:02:56,Short
810346,Subscriber,male,black,1,1,Adult,Kwazulu Natal,Channel O,2016-02-18,Thu,Feb,15:55:00,15,03. Afternoon,Weekday,00:52:12,Moderate
